full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
Caris LeVert,78,22,Brooklyn Nets,G,08/25/94,1.98,86.6,2625717,USA,2016,1,20,Michigan,NBA2k20,29,22.0895826956433
Marcus Morris,78,0,Los Angeles Clippers,F,09/02/89,2.03,106.6,15000000,USA,2011,1,14,Kansas,NBA2k20,34,25.86813560144629
Dejounte Murray,78,5,San Antonio Spurs,G,09/19/96,1.93,77.1,2321735,USA,2016,1,29,Washington,NBA2k20,27,20.69854224274477
Larry Nance Jr,78,22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,12727273,USA,2015,1,27,Wyoming,NBA2k20,31,25.494418454988743
Kelly Olynyk,78,9,Miami Heat,C,04/19/91,2.11,106.1,12667885,Canada,2013,1,13,Gonzaga,NBA2k20,33,23.831450326812067
Kelly Oubre,78,3,Phoenix Suns,F-G,12/09/95,2.01,92.1,15625000,USA,2015,1,15,Kansas,NBA2k20,28,22.796465434023915
Jabari Parker,78,0,Sacramento Kings,F,03/15/95,2.03,106.6,6500000,USA,2014,1,2,Duke,NBA2k20,29,25.86813560144629
Bobby Portis,78,1,New York Knicks,F-C,02/10/95,2.08,111.6,15000000,USA,2015,1,22,Arkansas,NBA2k20,29,25.795118343195263
Terry Rozier,78,3,Charlotte Hornets,G,03/17/94,1.85,86.2,19894737,USA,2015,1,16,Louisville,NBA2k20,30,25.18626734842951
Dennis Schroeder,78,17,Oklahoma City Thunder,G,09/15/93,1.85,78.0,15500000,Germany,2013,1,17,,NBA2k20,30,22.79035792549306
Jeff Teague,78,0,Atlanta Hawks,G,06/10/88,1.91,82.1,19000000,USA,2009,1,19,Wake Forest,NBA2k20,35,22.504865546448837
Derrick White,78,4,San Antonio Spurs,G,07/02/94,1.93,90.7,1948080,USA,2017,1,29,Colorado,NBA2k20,29,24.34964697038847
Justise Winslow,78,0,Memphis Grizzlies,F,03/26/96,1.98,100.7,13000000,USA,2015,1,10,Duke,NBA2k20,28,25.686154474033263
Darius Garland,77,10,Cleveland Cavaliers,G,06/26/00,1.85,79.4,6400920,USA,2019,1,5,Vanderbilt,NBA2k20,23,23.199415631848066
